id,listing_url,name,description,host_id,host_name,host_in_state,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,instant_bookable,review_scores_rating,number_of_reviews
108061,https://www.airbnb.com/rooms/108061,Walk to stores/parks/downtown. Fenced yard/Pets OK,"Walk to town in ten minutes! Monthly rental includes utilities, wifi, linens and everything you'll need to make a home in downtown Asheville. Quiet and friendly neighborhood, one mile from the hospital or UNCA. Fenced private backyard and private deck. Private laundry room and lock up spot for your bike. Dedicated parking spot. Please contact me in advance if you want to bring your pet(s). I will not allow pets without prior disclosure. There is a security deposit required for all pets.<br /><br /><b>The space</b><br />True Asheville...artist styled apartment with a pet friendly fenced back yard and great neighbors all around. Stay here and easily walk downtown or through the wooded trails and botanical gardens at UNCA. Super convenient neighborhood to walk, bike, run or just stroll around and meet people....very local and friendly! Whole Foods, Trader Joe’s and lots of nearby coffee shops, restaurants and Asheville Yoga Center all within a four block radius. <br /><br />Your sunny dow",320564,Lisa,TRUE,within a few hours,0.78,0.33,f,2,t,t,Entire rental unit,Entire home/apt,2,1,1,82,30,365,f,4.49,89
155305,https://www.airbnb.com/rooms/155305,Cottage! BonPaul + Sharky's Hostel,"<b>The space</b><br />Private cottage located behind the main house at the Hostel in Historic West Asheville.  <br /><br />Self check-in starts at 3pm.<br /><br />Cottage has full size bed, private kitchen and bathroom. Please note also, the shower is not huge. It will fit one person just fine. <br /><br />Guests get full access to the hostel: book exchange, community computer, common areas with cool international travelers and all the cool restaurants, pubs and cafe's that West Asheville has within walking distance!<br /><br /><b>Guest access</b><br />Guests have solo access to the cottage, and access to the main house of the hostel.<br /><br /><b>Other things to note</b><br />Parking in our lot is limited. You can also park for free on the street.",746673,BonPaul,TRUE,within an hour,1.00,0.99,t,7,t,t,Entire guesthouse,Entire home/apt,2,1,1,91,1,365,t,4.57,334
156805,https://www.airbnb.com/rooms/156805,"Private Room ""Ader"" at BPS Hostel","<b>The space</b><br />Private Rooms at Bon Paul and Sharky's Hostel.  Each Private room has a full size bed that sleeps two adults. <br /><br />Self check-in starts at 3pm.  <br /><br />Guests have access to all hostel amenities: full kitchen and bathrooms, wifi and internet, common area and book exchange, and cool international travelers.  <br /><br />We are located in Historic West Asheville, walking distance to amazing restaurants, cafes and pubs, grocery, and Asheville's River Art's District.  <br /><br />Two private bathrooms are shared throughout the hostel.  <br /><br />We are a traveler's hostel and therefore CANNOT BOOK TO LOCALS.",746673,BonPaul,TRUE,within an hour,1.00,0.99,t,7,t,t,Private room in residential home,Private room,2,1,1,66,1,365,t,4.52,67
156926,https://www.airbnb.com/rooms/156926,"Mixed Dorm ""Top Bunk #1"" at BPS Hostel","This is a top bunk in the mixed dorm room<br /><br />*Please note this is a co-ed dorm - we have another listing for female only<br /><br /><b>The space</b><br />Self check-in starts at 3pm. Instructions will be sent after booking. <br /><br />Dorm bunks at Bon Paul and Sharky's Hostel. We have a co-ed dorm, as well as female only dorm.  We have some off street parking behind the hostel and are located in a very safe neighborhood with plenty of free on-street parking.  Our front porch is awesome, with a porch swing.  Asheville public transit bus stop one block away.  <br /><br />Each room has 6 bunks and plenty of windows. Guests have access to all hostel amenities: full kitchen and bathrooms, wifi and internet, common area, book exchange, and cool international travelers. We are located in Historic West Asheville, walking distance to amazing restaurants, cafe's and pubs, grocery, and Asheville's River Art's District. Three private bathrooms are shared throughout the hostel. We are a t",746673,BonPaul,TRUE,within an hour,1.00,0.99,t,7,t,t,Shared room in hostel,Shared room,1,1,6,33,1,365,t,4.7,289
160594,https://www.airbnb.com/rooms/160594,Historic Grove Park,"Come enjoy the beautiful Grove Park neighborhood.  Cozy bedroom and private bath in our old, historic home.  Close to downtown, restaurants, bakeries and coffee shops.  Enjoy a tasty breakfast on our pretty patio!<br /><br /><b>The space</b><br />Come enjoy our 1920's home in the historic Grove Park neighborhood.  A queen-sized bed and full bath are ready for you.  Enjoy a home cooked breakfast on our pretty patio!<br /><br />Take a 10 minute walk to downtown Asheville from our safe and quiet neighborhood or a 5 minute walk to the Spa and the golf course at the Grove Park Inn.<br /><br />Quick access from I-240 and easy parking.<br /><br />A short distance to great restaurants, coffee shops, bars, handmade ice cream and grocery stores.  Great local pizza and beer with $3 movies nearby. Visit Beer City USA's numerous micro-breweries.<br /><br /> Wi-Fi access.  Please contact host before booking.  Thanks!<br /><br /><b>Guest access</b><br />This is our private home and we reside here ful",769252,Elizabeth,TRUE,N/A,N/A,N/A,f,1,t,f,Private room in residential home,Private room,2,1,1,125,30,1125,f,4.96,58
209068,https://www.airbnb.com/rooms/209068,Terrace Cottage,"Located in one of Asheville's oldest historic districts, walkable to UNC-Asheville, the Omni Grove Park Inn, restaurants, wine shops, markets, greenways, parks and more! Downtown is walkable on well-lit sidewalks (under 2 miles), a 5-min drive away.<br /><br /><b>The space</b><br />Experience a classic, private, Arts & Crafts-style guesthouse in our beautiful historic district close to the center of Asheville. All linens and other amenities including HDTV are provided so just bring your groceries.<br /><br />The newly-installed UBIQUITI access point is your reliable connection for online meetings and networking.<br /><br />The cottage is very private and comfortable, situated in a quiet location in our safe and friendly neighborhood. Nice walk to downtown along tree-lined streets with great markets and restaurants along the way. Walk to the university, botanical gardens, parks and greenways. <br /><br />Enjoy a real cook's kitchen, tiled bathroom, sunny deck, closet storage, and lockin",1029919,Kevin,TRUE,within a day,1.00,0.25,f,1,t,t,Entire guest suite,Entire home/apt,4,1,2,134,30,360,f,4.87,57
213006,https://www.airbnb.com/rooms/213006,Blue Gate West,"Due to the unfortunate circumstances the COVID-19 Pandemic has brought to our doorstep, plus the current uncertainty about renting our personal spaces, I find the need to prolong the availability until further notice.<br />I have very much enjoyed meeting people from many walks of life, sharing stories and experiences.<br />It’s sad and disconcerting that we have to be fearful of the very humans that previously brought light and interest into our lives.<br /><br /><b>The space</b><br />Hello, Welcome to Asheville, also known as the Paris of the South.  My name is Susanne.  My home is located in W. Asheville in a quiet neighborhood.  The space has a one bedroom with queen size bed and a private adjoining bathroom. There is wifi,  back terrace and yard to enjoy for reading or having a cup of coffee outside plus an enclosed yard to let your dog out for business.  Please pick up.  There is a container outside the back gate.<br />I am also within walking distance to downtown West Asheville ",1098412,Susanne,TRUE,N/A,N/A,0.00,t,1,t,t,Private room in bungalow,Private room,1,1,1,58,2,1125,f,4.85,137
246315,https://www.airbnb.com/rooms/246315,Asheville Dreamer's Cabin,"Hi there,<br />I am usually here half of each month cause I travel for my business.  Please ask if  need those dates. The cabin is very cozy but also provides privacy and separate baths. <br />Safe and close to downtown Asheville!<br />Annie<br /><br /><b>The space</b><br />This beautiful historic log cabin combines the serenity of the Great Smokey Mountains with the flair and soul of it's native New Orleanian owner. Ideally located to provide both privacy and convenience to all Asheville has to offer. Approximately five minutes to enchanting downtown Asheville, the Blue Ridge Pkwy., great hiking, waterfalls, the Folk Art Center, golfing, the Nature Center, the Biltmore estate and more.<br /><br /> Located in a quiet, safe area of  East Asheville, all appliances and fully equipped kitchen, 1 TV, off street parking, cable and wifi , linens and towels. Just show up and relax !!<br /><br /><b>Guest access</b><br />Kitchen and common space are shared with owner.<br />Yard is not available ",1292070,Annie,TRUE,within a few hours,1.00,0.86,f,2,t,f,Private room in cabin,Private room,2,1,1,68,3,365,f,4.66,57
259576,https://www.airbnb.com/rooms/259576,"Private, peaceful, and free goat therapy","We are a small community of like-minded progressives living in a quiet rural area right outside the city of Asheville. We have a lot of animals (miniature goats, ducks, 2 cats, 1 dog) and while you do not have to interact with them, if you love animals, you will enjoy it here! We enjoy our privacy and quiet and hope for like-minded guests to enjoy it with us! Come for the great hiking, the award winning restaurants and enjoy a little goat therapy too :)<br /><br /><b>The space</b><br />Contemporary studio apartment, suitable for one person or a couple (queen bed) Living Area with smart TV and wireless internet provided, bedroom area with very comfortable queen size bed (all linens provided), fully stocked kitchen large dorm size refrigerator and separate small freezer, bathroom with  shower. 7 miles or 10 minutes from downtown Asheville in east Asheville. 5 minutes from the Blue Ridge Parkway and awesome hiking spots. We are situated in a 3-home private eco-community in the mountains r",1362726,Julia,TRUE,within an hour,1.00,1.00,t,2,t,t,Entire rental unit,Entire home/apt,2,1,1,76,1,30,t,4.93,600
295496,https://www.airbnb.com/rooms/295496,The Fern Street Apt near Biltmore,"<b>The space</b><br />Welcome to ""Fern Street on the Green,"" a well kept apartment in a quiet neighborhood in Asheville, NC near the Biltmore Estate. The charming apartment has its own entrance and is on the back lower ground level of a larger home – facing onto a large private greenway-wonderful for bird watching. There is a quiet tenant on the upper level. (Please note that there is an exterior stairway from the parking area to the apartment - well lit with handrail.)<br /><br />Fernie is a monthly rental. See calendar.<br />The 500 sq foot Fern Street Apartment is located:<br />1 mile from Biltmore entrance on a quiet street<br />2 miles from the Blue Ridge Parkway<br />3 miles to downtown Asheville<br />15 minutes from the Asheville airport<br />And within an easy drive of Warren Wilson College and Black Mountain <br /><br />There is easy access to Interstate 40 and I-26. <br />Local bus service is only 2 blocks away.<br /><br />We're only 1/4 mile from Biltmore Forest, a lovely co",1501882,Debbie,TRUE,N/A,N/A,0.00,f,1,t,t,Entire rental unit,Entire home/apt,2,1,0,50,90,365,f,4.65,32
