FARM,MILK_93,MILK_94,MILK_95,MILK_96,MILK_97,MILK_98
1,73647,91260,118498,111454,110419,131197
2,118149,127742,146490,163434,163603,169540
3,102445,129938,134282,132594,140581,182037
4,405042,489134,526054,545834,570261,543844
5,111642,103142,126711,146585,144745,125715
6,151536,161790,186542,168885,159389,169946
7,132624,170163,206356,228979,236043,236429
8,147230,176428,205493,198484,192819,216856
9,430663,449932,516969,572678,597944,608132
10,230278,233134,278649,302065,293232,283802
11,136605,123832,147739,155143,168044,171030
12,156198,189529,206070,236732,235459,237510
13,142121,168558,221326,241494,291315,414293
14,158383,180938,197301,219867,245524,266912
15,61205,66821,62141,72327,81533,63811
16,159331,169039,185685,251147,276777,358037
17,56604,63047,75368,84677,103247,101871
18,70498,76068,86609,87503,105190,120343
19,68656,85475,91897,125359,110366,159393
20,102875,113146,133293,152504,145430,140072
21,128275,138035,161272,208072,231067,224115
22,122110,132216,155083,177265,196397,205320
23,94911,89555,103752,102163,97570,94834
24,239764,241284,239579,249157,294379,318806
25,66459,100440,103840,154112,155453,161507
26,262341,310944,351261,368304,397113,402334
27,201075,192701,184437,201490,212118,205076
28,68775,71929,91989,109268,115511,132675
29,92509,79001,118745,132312,138769,149184
30,158389,180413,167969,181458,185441,160281
31,294965,306384,350133,358799,379130,431249
32,220816,223973,236182,278566,254561,282256
33,246913,282645,306118,332560,311433,368880
34,144648,157965,176991,195148,235134,246469
35,124901,137739,148819,161137,186897,227340
36,64116,89024,102282,135459,130058,163539
37,139780,149128,189931,208127,189909,170262
38,303212,359338,459991,477194,465870,456419
39,165685,188637,208905,215682,217624,235276
40,108251,117053,107479,124669,118763,117746
41,97799,114858,121033,128672,119845,106464
42,168426,191495,197570,222086,253228,265836
43,96642,111369,142649,156788,168810,177212
44,83454,68088,93294,95376,86690,76069
45,126501,142799,153674,181657,172410,178351
46,149861,144398,149103,150461,142937,186293
47,117749,133453,148581,182641,194849,189617
48,143752,169439,172722,200555,210874,217479
