id ,College Name,State,Public (1)/ Private (2),num. appli. rec'd,num. appl. accepted,num. new stud. enrolled,num. FT undergrad,num. PT undergrad,in-state tuition,out-of-state tuition,room,add. fees,estim. book costs,estim. personal $,% fac. w/PHD,stud./fac. ratio,Graduation rate
1,Alaska Pacific University,AK,2,193,146,55,249,869,7560,7560,1620,130,800,1500,76,11.9,15
2,University of Alaska at Fairbanks,AK,1,1852,1427,928,3885,4519,1742,5226,1800,155,650,2304,67,10,
3,University of Alaska Southeast,AK,1,146,117,89,492,1849,1742,5226,2514,34,500,1162,39,9.5,39
4,University of Alaska at Anchorage,AK,1,2065,1598,1162,6209,10537,1742,5226,2600,114,580,1260,48,13.7,
5,Alabama Agri. & Mech. Univ.,AL,1,2817,1920,984,3958,305,1700,3400,1108,155,500,850,53,14.3,40
6,Faulkner University,AL,2,345,320,179,1367,578,5600,5600,1550,300,350,,52,32.8,55
7,University of Montevallo,AL,1,1351,892,570,2385,331,2220,4440,,124,300,600,72,18.9,51
8,Alabama State University,AL,1,4639,3272,1278,4051,405,1500,3000,1960,84,500,,48,18.7,15
9,Auburn University-Main Campus,AL,1,7548,6791,3070,16262,1716,2100,6300,,,600,1908,85,16.7,69
10,Birmingham-Southern College,AL,2,805,588,287,1376,207,11660,11660,2050,120,400,900,74,14,72
11,University of North Alabama,AL,1,1087,702,625,3772,1034,1704,2970,1336,20,500,,62,19.4,76
12,Huntingdon College,AL,2,608,520,127,538,126,8080,8080,1380,100,500,1100,63,11.4,44
13,Jacksonville State University,AL,1,1627,1413,887,5160,1475,1740,2610,1030,85,570,1500,66,20.1,33
14,Judson College,AL,2,313,228,137,552,67,5780,5780,,,,,70,17.9,43
15,Livingston University,AL,1,1206,957,444,1627,132,1740,1740,1162,243,570,2100,58,18.8,36
16,Miles College,AL,2,686,427,242,746,123,4000,4000,1250,,600,1000,35,16.7,15
17,University of Mobile,AL,2,452,331,269,1417,301,6150,6150,,70,550,1200,59,16.6,52
18,Oakwood College,AL,2,949,605,385,1316,135,6639,6639,,368,600,2500,52,14.5,
19,Samford University,AL,2,1680,1395,691,2959,402,8236,8236,3700,,569,1650,74,14.7,61
20,Spring Hill College,AL,2,773,694,230,942,224,11478,11478,2450,645,500,900,80,14.4,70
21,Stillman College,AL,2,629,614,248,866,22,4460,4460,1683,100,600,1000,47,14.3,47
22,Talladega College,AL,2,4414,1500,335,908,119,5666,5666,1424,418,1000,1400,56,15.5,46
23,Troy State University at Troy,AL,1,1471,1281,824,4343,990,1697,2883,1450,75,300,,50,23,48
24,Tuskegee University,AL,2,2267,1827,611,2825,144,6735,6735,3395,,600,1425,70,12.2,65
25,University of Alabama at Tuscaloosa,AL,1,7593,5972,2682,13780,1599,2172,5424,1600,,580,1654,80,17.3,50
26,University of Alabama at Birmingham,AL,1,1797,1260,938,6960,4698,2220,4440,1935,291,750,2200,96,6.7,33
27,University of Alabama at Huntsville,AL,1,1376,957,445,2727,3394,2480,4960,2500,,600,2100,83,12.7,38
28,University of South Alabama,AL,1,2328,2110,1047,7516,2943,2208,3108,1530,183,480,1470,80,13.3,43
29,Auburn University at Montgomery,AL,1,985,868,645,3477,1929,1905,5715,1650,,600,2500,74,18.1,42
30,University of Arkansas at Monticello,AR,1,826,794,662,4539,357,1536,3552,840,84,500,2800,54,42.6,
31,University of Arkansas at Pine Bluff,AR,1,1450,1360,744,2993,1020,1392,3216,2328,143,450,,47,16.2,
32,Arkansas College (Lyon College),AR,2,708,334,166,530,182,8644,8644,2382,120,500,800,79,12.6,54
33,Arkansas Tech University,AR,1,1734,1729,951,3602,939,1730,3460,,60,450,1000,57,19.6,48
34,Arkansas State University,AR,1,2688,2633,1488,7212,1707,1800,3720,,130,500,,71,20,39
35,University of Central Arkansas,AR,1,3131,2703,1792,7402,1119,1700,3274,1440,126,600,1761,71,20.5,36
